Position.x;Position.y;Scale.x;Scale.y;Rect.x0;Rect.y0;Rect.x1;Rect.y1;Type;Hp;Atk;Def;Speed;Path1;Path2;Name
0;0;1;1;0;0;32;32;plante;60;62;63;60;assets/down/2.png;assets/down/frame2/2.png;herbizarre
0;0;1;1;0;0;32;32;feu;58;64;58;80;assets/down/5.png;assets/down/frame2/5.png;reptincel
0;0;1;1;0;0;32;32;eau;59;63;80;58;assets/down/8.png;assets/down/frame2/8.png;carabaffe
0;0;1;1;0;0;32;32;insecte;50;20;55;30;assets/down/11.png;assets/down/frame2/11.png;chrysacier
0;0;1;1;0;0;32;32;insecte;45;25;50;35;assets/down/14.png;assets/down/frame2/14.png;coconfort
0;0;1;1;0;0;32;32;vol;63;60;55;71;assets/down/17.png;assets/down/frame2/17.png;roucoups
0;0;1;1;0;0;32;32;normal;55;81;60;97;assets/down/20.png;assets/down/frame2/20.png;rattatac
0;0;1;1;0;0;32;32;vol;65;90;65;100;assets/down/22.png;assets/down/frame2/22.png;rapasdepic
0;0;1;1;0;0;32;32;poison;60;95;69;80;assets/down/24.png;assets/down/frame2/24.png;arbok
0;0;1;1;0;0;32;32;electrik;60;90;55;110;assets/down/26.png;assets/down/frame2/26.png;raichu
0;0;1;1;0;0;32;32;sol;75;100;110;65;assets/down/28.png;assets/down/frame2/28.png;sablaireau
0;0;1;1;0;0;32;32;poison;70;62;67;56;assets/down/30.png;assets/down/frame2/30.png;nidorina
0;0;1;1;0;0;32;32;poison;61;72;57;65;assets/down/33.png;assets/down/frame2/33.png;nidorino
0;0;1;1;0;0;32;32;fee;95;70;73;60;assets/down/36.png;assets/down/frame2/36.png;melodelfe
0;0;1;1;0;0;32;32;feu;73;76;75;100;assets/down/38.png;assets/down/frame2/38.png;feunard
0;0;1;1;0;0;32;32;normal;140;70;45;45;assets/down/40.png;assets/down/frame2/40.png;grodoudou
0;0;1;1;0;0;32;32;poison;75;80;70;90;assets/down/42.png;assets/down/frame2/42.png;nosferalto
0;0;1;1;0;0;32;32;plante;60;65;70;40;assets/down/44.png;assets/down/frame2/44.png;ortide
0;0;1;1;0;0;32;32;insecte;60;95;80;30;assets/down/47.png;assets/down/frame2/47.png;parasect
0;0;1;1;0;0;32;32;insecte;70;65;60;90;assets/down/49.png;assets/down/frame2/49.png;aeromite
0;0;1;1;0;0;32;32;sol;35;100;50;120;assets/down/51.png;assets/down/frame2/51.png;triopikeur
0;0;1;1;0;0;32;32;normal;65;70;60;115;assets/down/53.png;assets/down/frame2/53.png;persian
0;0;1;1;0;0;32;32;eau;80;82;78;85;assets/down/55.png;assets/down/frame2/55.png;akwakwak
0;0;1;1;0;0;32;32;combat;65;105;60;95;assets/down/57.png;assets/down/frame2/57.png;colossinge

