Position.x;Position.y;Scale.x;Scale.y;Rect.x0;Rect.y0;Rect.x1;Rect.y1;Type;Hp;Atk;Def;Speed;Path1;Path2;Name
0;0;1;1;0;0;32;32;plante;45;49;49;45;assets/down/1.png;assets/down/frame2/1.png;bulbizarre
0;0;1;1;0;0;32;32;feu;39;52;43;65;assets/down/4.png;assets/down/frame2/4.png;salamèche
0;0;1;1;0;0;32;32;eau;44;48;65;43;assets/down/7.png;assets/down/frame2/7.png;carapuce
0;0;1;1;0;0;32;32;insecte;45;30;35;45;assets/down/10.png;assets/down/frame2/10.png;chenipan
0;0;1;1;0;0;32;32;insecte;40;35;30;50;assets/down/13.png;assets/down/frame2/13.png;aspicot
0;0;1;1;0;0;32;32;vol;40;45;40;56;assets/down/16.png;assets/down/frame2/16.png;roucool
0;0;1;1;0;0;32;32;normal;30;56;35;72;assets/down/19.png;assets/down/frame2/19.png;rattata
0;0;1;1;0;0;32;32;vol;40;60;30;70;assets/down/21.png;assets/down/frame2/21.png;piafabec
0;0;1;1;0;0;32;32;poison;35;60;44;55;assets/down/23.png;assets/down/frame2/23.png;abo
0;0;1;1;0;0;32;32;electrik;20;40;15;60;assets/down/25.png;assets/down/frame2/25.png;pichu
0;0;1;1;0;0;32;32;sol;50;75;85;40;assets/down/27.png;assets/down/frame2/27.png;sabelette
0;0;1;1;0;0;32;32;poison;55;47;52;41;assets/down/29.png;assets/down/frame2/29.png;nidoran-f
0;0;1;1;0;0;32;32;poison;46;57;40;50;assets/down/32.png;assets/down/frame2/32.png;nidoran-h
0;0;1;1;0;0;32;32;fee;70;45;48;35;assets/down/35.png;assets/down/frame2/35.png;melofee
0;0;1;1;0;0;32;32;feu;38;41;40;65;assets/down/37.png;assets/down/frame2/37.png;goupix
0;0;1;1;0;0;32;32;normal;100;45;20;20;assets/down/39.png;assets/down/frame2/39.png;rondoudou
0;0;1;1;0;0;32;32;poison;40;45;35;55;assets/down/41.png;assets/down/frame2/41.png;nosferapti
0;0;1;1;0;0;32;32;plante;45;50;55;30;assets/down/43.png;assets/down/frame2/43.png;mystherbe
0;0;1;1;0;0;32;32;insecte;35;70;55;25;assets/down/46.png;assets/down/frame2/46.png;paras
0;0;1;1;0;0;32;32;insecte;60;55;50;45;assets/down/48.png;assets/down/frame2/48.png;mimitoss
0;0;1;1;0;0;32;32;sol;10;55;25;95;assets/down/50.png;assets/down/frame2/50.png;taupiqueur
0;0;1;1;0;0;32;32;normal;40;45;35;90;assets/down/52.png;assets/down/frame2/52.png;miaouss
0;0;1;1;0;0;32;32;eau;50;52;48;55;assets/down/54.png;assets/down/frame2/54.png;psykokwak
0;0;1;1;0;0;32;32;combat;40;80;35;70;assets/down/56.png;assets/down/frame2/56.png;ferosinge
0;0;1;1;0;0;32;32;feu;55;70;45;60;assets/down/58.png;assets/down/frame2/58.png;caninos


