Position.x;Position.y;Rect.left;Rect.top;Rect.width;Rect.height;Scale.x;Scale.y;Path
897.0;453.0;0;0;64;6;2.0;1.8;assets/fontaine.png
835.0;570.0;0;0;64;6;2.0;1.8;assets/fontaine.png
963.0;570.0;0;0;64;6;2.0;1.8;assets/fontaine.png
800.0;457.0;0;0;23;26;2.0;1.8;assets/lamp.png
1078.0;457.0;0;0;23;26;2.0;1.8;assets/lamp_rev.png
1366.0;543.0;0;0;23;26;2.0;1.8;assets/lamp_rev.png
662.0;716.0;0;0;23;26;2.0;1.8;assets/lamp_rev.png
784.0;226.0;0;0;18;24;2.0;1.8;assets/simple_lamp.png
880.0;773.0;0;0;18;24;2.0;1.8;assets/simple_lamp.png
1104.0;659.0;0;0;34;26;2.0;1.8;assets/double_lamp.png
366.0;201.0;0;0;68;53;2.0;1.8;assets/toit.png
366.0;317.0;0;0;68;53;2.0;1.8;assets/toit.png
1422.0;316.0;0;0;68;53;2.0;1.8;assets/toit.png
1198.0;461.0;0;0;68;53;2.0;1.8;assets/toit.png
1198.0;691.0;0;0;68;53;2.0;1.8;assets/toit.png
1422.0;691.0;0;0;68;53;2.0;1.8;assets/toit.png
942.0;835.0;0;0;68;53;2.0;1.8;assets/toit.png
560.0;435.0;0;0;66;28;2.0;1.8;assets/centre.png
1138.0;164.0;0;0;112;37;2.0;1.8;assets/arene.png
1104.0;-1850.0;0;0;66;21;2.0;1.8;assets/labo.png
502.0;-1876.0;0;0;23;26;2.0;1.8;assets/lamp_rev.png
-784.0;-2797.0;0;0;18;24;2.0;1.8;assets/simple_lamp.png
-1552.0;-2854.0;0;0;34;26;2.0;1.8;assets/double_lamp.png
-1258.0;-2970.0;0;0;23;26;2.0;1.8;assets/lamp_rev.png
-1280.0;-3315.0;0;0;23;26;2.0;1.8;assets/lamp.png
842.0;3.0;0;0;105;107;2.0;2.0;assets/tunnel.png
842.0;-1375.0;0;0;105;107;2.0;2.0;assets/tunnel.png
650.0;901.0;0;0;105;107;2.0;2.0;assets/tunnel.png
-1950.0;-2945.0;0;0;127;128;2.0;2.0;assets/tunel2.png
